시도교육청,학교수,위험도_평균,고위험_학교수,주의_학교수,양호_학교수,미관리_평균,환경위험_평균,고위험_비율
전북특별자치도교육청,748,20.29,200,291,257,1.08,3.17,26.7
강원특별자치도교육청,629,17.89,127,262,240,0.87,2.87,20.2
전라남도교육청,839,17.41,151,366,322,0.84,2.68,18.0
광주광역시교육청,314,13.52,48,115,151,0.62,2.02,15.3
인천광역시교육청,536,13.42,175,178,183,0.22,3.68,32.6
경상북도교육청,931,13.41,204,191,536,0.64,2.43,21.9
경상남도교육청,978,13.37,223,266,489,0.49,2.64,22.8
울산광역시교육청,241,13.23,81,71,89,0.13,4.02,33.6
서울특별시교육청,1305,12.87,202,422,681,0.64,2.12,15.5
제주특별자치도교육청,193,12.84,34,105,54,0.17,2.92,17.6
충청남도교육청,708,12.81,80,230,398,0.68,1.68,11.3
충청북도교육청,475,12.75,28,175,272,0.77,1.44,5.9
경기도교육청,2474,10.9,338,807,1329,0.36,2.0,13.7
대전광역시교육청,302,8.07,55,74,173,0.11,2.15,18.2
대구광역시교육청,460,7.79,35,117,308,0.32,1.18,7.6
부산광역시교육청,610,7.56,53,190,367,0.14,1.34,8.7
세종특별자치시교육청,100,5.79,0,40,60,0.15,0.59,0.0
